date,SHA,YRS,NHG,EXC,PNF,SCC,MKM,TRM,ORO,NML,MHB,NAT,ISB,TLG,SJF
2003-10-30,2931.7439062500002,0.0,0.0,0.0,68.42123538385647,0.0,0.0,27.18839782580189,373.0,0.0,7.627452759328902,0.0,100.0,0.0,0.0
2003-10-31,2934.3140390625,0.0,0.0,0.0,70.59229898006723,0.18355746962891123,0.0,27.36975844646981,374.78875,0.0,7.662319583629234,0.0,100.12656249999999,0.0,0.0
2003-11-01,2938.948373730469,0.0,0.0,0.0013183593749999977,72.82064608781218,0.7118155311564156,0.0,27.577698986267404,381.97496875,0.0,7.705301962513292,0.0,100.56742187499998,0.0,0.0
2003-11-02,2946.651729228516,0.0,0.0,0.0,75.0179719476325,1.2498023726881318,0.0,27.826899803833967,395.41522421875,0.0,7.759205186906826,0.0,101.31690917968749,0.0,0.0
2003-11-03,2958.3256530496224,0.0,0.0,0.0843749999999999,77.35217654423585,1.8183997256273354,0.0,28.14797094196779,414.51067591796874,0.0,7.830586854102192,0.0,102.29531289062498,0.0,0.0
2003-11-04,2972.666072320652,0.0,0.0,0.3571874999999996,80.20099310914325,2.4310835872792875,0.0,28.580761347984975,440.0052554760742,0.0,7.943240742041903,0.0,103.46126718078611,0.0,0.0
2003-11-05,2988.595628152623,0.0,0.0,0.7615722656249992,83.45722494625322,3.0963238712267933,0.0,29.147488356551012,470.07107224688656,0.0,8.128543245736333,0.0,104.8289484424133,0.0,0.0
2003-11-06,3005.9387227029943,0.0,0.0,1.241102636718749,86.83279767155776,3.811228267403727,0.0,29.832658281249728,500.1439128985599,0.0,8.397463394702612,0.0,106.4979453869045,0.0,0.0
2003-11-07,3025.4948151624517,0.0,0.0,1.7857600268554674,90.38149384774394,4.56741768237847,0.0,30.611098095238038,529.3348381811679,0.0,8.737822465566682,0.0,108.47583620473344,0.0,0.0
2003-11-08,3053.7658071877863,0.0,0.0,2.509640524841307,94.30726361059969,5.365928026102855,0.0,31.46636948429607,561.0706901613303,0.0,9.13317319420594,0.0,110.7308049570867,0.0,0.0
2003-11-09,3093.1725147179914,0.0,0.0,3.384856769607857,98.6819069376102,6.2186575938052036,0.0,32.440225238209685,601.1209996296992,0.0,9.588821062180497,0.0,113.40000806793535,0.0,0.0
2003-11-10,3134.1040910161037,8.820282445017593,0.0,4.172411356245759,103.0485436550486,7.155169381205371,0.0,33.73084805068709,645.3396520445502,0.0,10.153966400741462,0.0,116.56961982575066,0.0,0.0
2003-11-11,3169.902503839526,44.91683803309718,0.0,4.7821633494234375,106.92358485638924,8.19747445153036,0.0,35.456807424327955,685.4255172229794,0.0,10.879934070043515,0.0,119.83156169612147,0.0,0.0
2003-11-12,3200.603289342577,79.18123221032869,0.0,5.212378931618936,110.26994244370377,9.314592183537318,0.0,37.420386871637575,721.1171616344617,0.0,11.74364052794609,0.0,122.79993822698947,0.0,0.0
2003-11-13,3227.143685220009,110.75090347344639,0.0,5.515955231412223,113.08310384551974,10.455687711953374,0.0,39.441234860088905,752.5520187264916,0.0,12.664091388019283,0.0,125.45676162822463,0.0,0.0
2003-11-14,3254.2908775785086,139.75474826946154,0.0,5.724187413947205,115.35757780532109,11.610880580074625,0.0,41.51940347411957,779.8274634587924,0.0,13.5772916411118,0.0,127.79289086354558,0.0,0.0
2003-11-15,3283.7076797979125,166.28701791652085,0.0,5.8351810072236745,117.09952339427322,12.78429377459795,0.0,43.640552349957645,802.988746768635,0.0,14.458057592182833,0.0,129.81185339096905,0.0,0.0
2003-11-16,3311.2583511260395,190.3773942378943,0.0,5.870938927043227,118.33610086003694,13.970915036679857,0.0,45.70488350681597,821.9126449266384,0.0,15.310336385111956,0.0,131.5264327984133,0.0,0.0
2003-11-17,3334.853129550429,211.99807810056637,0.0,5.893684321269427,119.0795459260475,15.176225206967365,0.0,47.621227195574335,837.0230999332312,0.0,16.17844678514568,0.0,132.94027535294254,0.0,0.0
2003-11-18,3354.1106765610434,231.29594792334728,0.0,5.922908558906439,119.03979593792992,16.389339954630422,0.0,49.37087736184378,849.4985365605544,0.0,17.07755671772191,0.0,134.0428716564508,0.0,0.0
2003-11-19,3368.9379420548225,248.6565314032964,0.0,5.89635112413409,111.82681830441328,17.56767674533452,0.0,50.95599433390114,859.8787092738033,0.0,17.94452289028234,0.0,134.82159933492335,0.0,0.0
2003-11-20,3379.333657092234,264.33477126086694,0.0,5.394420113084151,103.77967943085591,18.6704510429974,0.0,52.379742101290525,867.9461610534238,0.0,18.73725945517533,0.0,135.34402033309516,0.0,0.0
2003-11-21,3385.3441413217142,278.38025572882873,0.0,4.771745710829995,96.64166468843322,19.68465126820676,0.0,53.64564414901197,873.44583258753,0.0,19.45780554651309,0.0,135.755037746748,0.0,7.615696427087937
2003-11-22,3387.546932285086,290.7794644889786,0.0,4.056467059520076,90.5700429064143,20.613815987532366,0.0,54.759878810518885,876.1436549975884,0.0,20.11068777088628,9.526110058594446,136.11689317499253,0.0,14.948357200317384
2003-11-23,3380.0,301.51611496025265,0.0,3.2199101673558856,83.7235092231506,21.463654405651454,0.0,55.74045240688155,853.2197181303054,0.0,20.70519868806981,21.641960397949855,136.40514714466227,0.0,21.588792910293577
2003-11-24,3380.1603124999997,310.6180660702433,0.0,2.132325701885077,75.85063201489255,22.241651462001226,0.0,56.61454902463742,812.7418749999999,0.0,21.252308786464575,33.480130067322364,136.61994480632237,0.0,27.775733051396557
2003-11-25,3381.0236093749995,318.2038328157874,0.0,0.7499999999999996,67.0175559472656,22.955290317782087,0.0,57.39941823781338,777.775,0.0,21.75979187747973,44.98740075905052,136.8096989458482,0.0,33.57365268191681
2003-11-26,3383.2161974609367,324.4656143975721,0.0,0.0,58.06315234374999,23.61195120927919,0.0,58.10568594027334,763.0,0.0,22.233327017918754,56.13556761539077,137.18125277490958,0.0,39.005159980773044
2003-11-27,3387.3930457812494,329.7162831615042,0.0,0.004218749999999995,48.93296874999999,24.216594616575964,0.0,58.74699666534307,763.48375,0.0,22.676558057981097,66.86906693942905,138.06767522304136,0.0,44.24871438846506
2003-11-28,3393.6196507427976,334.4958431743914,0.0,0.01830729776000974,42.0625,24.771661873103607,0.0,59.331982116756095,766.8255625,0.0,23.091366977558295,76.96275201015942,139.32183055120768,0.0,49.39195661011143
2003-11-29,3403.0866165775938,339.222408842562,0.0,0.031267584564971876,40.0,25.27898643116638,0.0,59.86414262833859,775.1918905175781,0.0,23.47952392012277,86.27616212735285,140.5424490229711,0.0,54.447157230075724
2003-11-30,3418.8334895017424,343.9656380426511,0.0,0.0,40.174375,25.739713971383544,0.0,60.34671431130963,785.7739001838379,0.0,23.84269338205381,95.15748121780139,141.63016084351315,0.0,59.4801542511135
2003-12-01,3442.2598755190197,349.1984755629874,0.0,0.00543164062499999,40.889312499999996,26.156978618131983,0.0,60.78240795842039,798.6978889200501,0.0,24.182440102644502,104.83411153271626,142.57152349442902,0.0,64.63599895957643
2003-12-02,3473.949177755258,356.0343932412834,0.0,0.0,42.37915351562499,26.536606765137563,0.0,61.176746843960736,818.4595511572963,0.0,24.503047164872537,116.11133021854378,143.34760868535125,0.0,69.9017035941074
2003-12-03,3513.393622856266,364.87708809279314,0.0,0.043593749999999945,44.55457849609374,26.882783534363572,0.0,61.53989708066368,844.7213196837803,0.0,24.811099442188993,128.29805547412565,143.94033201975034,0.0,75.1924125393111
2003-12-04,3557.7666870672497,375.02146650459423,0.0,0.31127343749999964,47.09483824096679,27.19755704467693,0.0,61.8813305808639,876.1692067060319,0.0,25.110895487605575,140.64739570889094,144.3393306171846,0.0,80.8164743100174
2003-12-05,3610.3442337680194,386.17894203410316,0.0,0.9224622070312489,49.96250202006834,27.48430471945116,0.0,62.21069963495536,911.9999157517245,0.0,25.407565941847352,153.06218959639946,144.54583366707695,0.0,87.29318824458413
2003-12-06,3707.5598983489203,404.1536129850974,0.0,2.0463154980468725,53.52026401719923,27.753606865492323,0.0,62.63476834641574,963.4264729028417,0.0,25.708330790835085,169.38377904991918,143.67312386121168,0.0,95.091614920972
2003-12-07,3842.7182240172697,440.4657642445007,0.0,4.5896831954956,58.49222889089759,28.048695725580398,0.0,63.399041565710434,1055.462015705188,0.0,26.067157104051763,199.7506865189312,140.99390079590452,0.0,103.33415941428127
2003-12-08,3968.965506007279,495.71038499195225,0.0,9.282535213650503,65.25937879844446,28.462625968036868,0.0,64.70885323016233,1187.2890469271038,0.0,26.802706359587493,247.40930536043558,137.64572172192382,0.0,110.65559538156975
2003-12-09,4077.372863970878,557.0642864534108,0.0,15.513923711107505,73.26149993234799,29.05325526066848,0.0,66.50760478613932,1330.9547371273904,0.0,28.20238921808257,301.88600251404534,133.37714500976563,0.0,116.72517062281918
2003-12-10,4167.67135753993,617.0411067800708,0.0,22.57667092336917,82.09246889042473,29.770656638335137,0.0,68.5233375593001,1476.0245729086691,0.0,30.041510674530706,356.15248650196116,131.0,0.0,121.41378901954587
2003-12-11,4239.936299348284,677.6201049464313,0.0,30.385552732916604,91.85997781767051,30.557335748510535,0.0,70.60791763956473,1629.1874691764142,0.0,32.1365942231599,411.9869828775481,131.14484375,0.0,124.62485522748156
2003-12-12,4294.260260773001,739.4648346621998,0.0,38.67360849708797,102.56652776832078,31.41433429856899,0.0,72.76358568401861,1784.4019265312795,0.0,34.64843174195049,469.7616970602234,131.7474921875,0.0,126.64015520566238
2003-12-13,4330.283530819129,799.104389385935,0.0,47.16894341251098,113.67178910114912,32.3280855525333,0.0,74.93279648508185,1930.232900711595,0.0,37.62225654041721,528.227840227356,132.87908486328124,0.0,128.5594873152377
2003-12-14,4345.763452797111,853.7501919741832,0.0,55.93025154282441,124.80963701535639,33.26697473797352,12.69596637423722,77.05824041939982,2063.4750829275467,0.0,41.18276644056545,584.3645687058608,134.34860899414062,0.0,132.25591248534488
2003-12-15,4035.247503082648,902.2400413718506,0.0,64.59874629487007,136.1531851787386,34.223643501805846,30.600344413683853,79.07989618965055,2182.5623259703298,0.0,45.395545638484066,634.951470737617,136.17213465301515,1.182155214154207,138.39847676378776
2003-12-16,3607.767578125,943.786328341313,0.0,72.65966938945586,147.5442406594021,35.15037289640433,48.42093218635841,80.96296647542675,2286.8449864582876,0.0,49.666331716877906,679.3936431555645,138.44298303746643,27.46198447945713,145.6643106427341
2003-12-17,3142.515625,979.2163441236027,0.0,80.05803195615535,158.60811990133567,35.997221161890366,65.3594298558048,82.74312680226974,2377.8358102766506,16.806737620297998,53.50448169897249,717.4413156263535,140.98817340682683,50.23323160680015,153.25130925804223
2003-12-18,2899.0,1010.7303980994888,0.0,86.99399205944368,169.21591840327008,36.76519290395715,81.35087888128598,84.44069014366201,2458.256450677777,32.86621108325008,56.93043169384225,750.0901136101427,143.6736246911974,71.54902048629012,161.43886508368877
2003-12-19,2905.17625,1039.635169023277,0.0,93.65001296748541,179.4792827054693,37.462408298233,96.67127626000608,86.07490764558267,2531.750341876944,46.768001472042044,60.027524316804076,779.478667589382,146.52726230749897,93.90878535606834,170.31499892091182
2003-12-20,2928.3979375,1067.1495625965313,0.0,100.0754770339865,189.62786532132026,38.112571425865525,111.51132783821092,87.66682614015714,2600.815425611173,58.820922496897104,62.88249124304377,808.0584315826783,149.47500264246733,118.46337225514444,179.78802531645567
2003-12-21,2970.0995992187495,1093.6452582973907,0.0,106.55018391757032,200.1077145795753,38.74839028767561,126.4039395007225,89.28391050503903,2668.0791823622103,69.03809100890601,65.57483955606548,838.8060384717899,152.50074107671074,145.41590920173124,190.4328571337378
2003-12-22,3024.296117031249,1118.0294583624338,0.0,113.2893539603004,211.24799220665966,39.38945310594369,141.54551610046533,91.06530631815025,2735.7337888315287,77.40716050010892,68.28727785889183,872.4463318998821,155.66507558633046,174.31260567609036,202.32840653602256
2003-12-23,3092.762753176269,1140.0649617769993,0.0,120.11002246208463,222.69802854517127,40.03420930610338,156.13351255569543,93.05602076270394,2802.6081964296623,83.90534301656075,71.18727319379134,906.8452660973567,158.77055313240595,202.74734569368113,214.85734495658733
2003-12-24,3214.726946991235,1160.2350896437245,0.0,127.64408807257453,235.18682072674366,40.682717652518186,170.58537411401826,95.26666694253498,2886.2321590758984,88.43039957527706,74.32002829049966,941.4954468414949,161.7221366474755,231.79674049389013,230.05572032730225
2003-12-25,3429.5450337473394,1186.195114170445,0.0,138.11851871514173,252.8478989205136,42.209694819623934,187.23181604134487,99.60352607860116,3010.004515897343,90.64121985319925,78.58775421098666,974.3388552092979,165.49086702391486,261.09775931023285,252.12279807702913
2003-12-26,3708.0453809132023,1227.4340313889118,0.0,151.2916323030143,277.8023582686301,45.6419208534077,204.82309482046813,107.19750548108864,3149.8383747208663,61.71182282722533,85.24820858426655,1001.7666489852672,171.23553832524624,286.9266608122565,278.5979491812627
2003-12-27,4001.6560476893565,1278.7022559817513,0.6560691113385779,164.33474708987964,305.1214959790952,49.908477053938164,220.72097763099012,115.62761881146577,3276.652595784175,16.629392151733292,93.80175743411766,1022.4899364234188,178.4276228043684,308.60135454248945,303.7891771007813
2003-12-28,4286.367212244255,1329.2425412842529,9.773290573343552,176.1697999287061,330.5567515051058,53.76968455001898,234.9719277460988,123.20039613337514,3391.1629920194578,0.0,102.77947153320459,1037.5485610383193,185.77483024443137,326.6570414188132,326.68258184487263
2003-12-29,4551.024672313393,1375.6886635139558,20.0673634272965,186.93416899661813,353.9004425862904,57.24044139184955,247.81380685845468,129.9385058301496,3495.265240393391,0.0,111.51836238186156,1052.8772627104454,192.83374922609903,344.56463831240217,348.3082632065072
2003-12-30,4794.09153660066,1418.0136165333697,30.73187984025556,196.69348898663796,375.2175047330355,60.37824606491612,259.3905183478214,135.89532722925296,3589.138598759582,0.0,120.24422257584573,1075.706542225912,199.7561906903916,366.433962313972,369.9375028410191
2003-12-31,5016.494585546869,1456.1012021718116,40.884544270734644,205.39403727486624,394.56735199587456,63.224881710674744,269.73779377108116,141.11547325339907,3671.690579231827,0.0,129.2417254523343,1107.4435264613123,206.57495109564348,393.04377412479914,391.66598045583925
2004-01-01,5218.17030131397,1489.5556718591422,50.01718594137719,212.84639651235625,412.0016186945196,65.79889844665031,278.85655811609337,145.6291487601672,3741.995368853804,0.0,138.237822126143,1146.6398492580172,213.26383136747413,420.7615318700422,412.3819207779908
2004-01-02,5396.411215081038,1517.4154018853785,57.88483922296725,218.63223389027686,427.4976858630994,68.1098743267377,286.65643578798375,149.4492741686019,3798.555913525484,0.0,146.62060945328008,1187.0462087541364,220.00899487638603,445.702438313449,431.1787491197296
